part_name,part_description,quantity,Supplier,SKU,Manufacturer,MPN
Enclosure,,,,,,
Fibox PCM 150/100 T enclosure,Fibox transparent box,1,RS Componentes,498-5129,Fibox,PCM 150/100 T enclosure
ICOTEK_QVT_20,SPLIT CABLE GLAND QVT 20 wo grommet,2,Kolbi,,ICOTEK,QVT_20
ICOTEK_QVT_16,SPLIT CABLE GLAND QVT 16 wo grommet,1,Kolbi,,ICOTEK,QVT_16
ICOTEK GROMMET FULL,ICOTEK GROMMET WO HOLE,1,Kolbi,,ICOTEK,
ICOTEK GROMMET ONE,ICOTEK GROMMET w/ one hole,1,Kolbi,,ICOTEK,
ICOTEK GROMMET FOUR,ICOTEK GROMMET w/ four holes,1,Kolbi,,ICOTEK,
GPS,,,,,,
Adaptor U.FL SMA Hembra,Adaptor U.FL SMA Hembra,1,Mouser,474-WRL-09145,Sparkfun,WRL-09145
Magnetic Mount Antenna GPS/GLONASS/Galileo/BeiDou,Antennas Magma X AA.170 GPS/GLONASS/Galileo/BeiDou Magnetic Mount Antenna,1,Mouser,960-AA.170.301111,Taoglas,AA.170.301111
GPS_14414,SparkFun GPS Breakout - XA1110 (Qwiic),1,Digikey,1568-1742-ND,Sparkfun,GPS-14414
QWIIC_GROVE_ADAPTOR,Accesorios SparkFun Qwiic Cable - Grove Adapter (100mm),1,Mouser,474-PRT-15109,Sparkfun,PRT-15109
Cable,,,,,,
USB_BULGIN_CONN_OUT,external bulgin usb connector,1,Mouser,167-PXP4040/B/2M00 ,Bulgin,PXP4040/B/2M00
USB CABLE,USB 90deg CABLE,1,RS Componentes,186-2824,Startech,UUSBHAUB1RA
USB_BULGIN_CONN_IN,internal bulgin usb connector,1,Mouser,167-PXP4043/B,Bulgin,PXP4043/B
USB_BULGIN_SEALING_CAP,Conector circular estándar Sealing Cap For 4000 Power and Data Conns,1,Mouser,157-PXP4083,Bulgin,PXP4083
Smart Citizen Boards,,,,,,
GROVE HUB 4 CH,SEEED Studio Grove Hub,1,Mouser,713-103020006 ,SEEED,103020006
DATA 2.1.1,Data Board 2.1.1,1,SC,DATA_BOARD,SC,DATA_BOARD
SC_POWER_HUB,Smart Citizen Power Hub,1,SC,POWER_HUB,SC,POWER_HUB
Atlas scientific sensors,,,,,,
Sensors,,,,,,
TENTACLE T3,Tentacle T3 Carrier Board,2,Atlas Scientific,T3,White Labs,T3
PT-1000 Temperature Probe,Atlas Scientific PT-1000 Temperature Probe,1,Atlas Scientific,PT-1000,Atlas Scientific,PT-1000
pH Probe,Atlas Scientific Lab Grade pH Probe,1,Atlas Scientific,ENV-40-pH,Atlas Scientific,ENV-40-pH
Conductivity Probe K10,Atlas Scientific Conductivity Probe K 10,1,Atlas Scientific,ENV-40-EC-K10,Atlas Scientific,ENV-40-EC-K10
Dissolved Oxygen Probe,Atlas Scientific Dissolved Oxygen Probe,1,Atlas Scientific,ENV-40-DOX,Atlas Scientific,ENV-40-DOX
Driver RTD Temperature Circuit,Atlas Scientific RTD Temperature Circuit,1,Atlas Scientific,EZO-RTD,Atlas Scientific,EZO-RTD
Driver pH Sensor,Atlas Scientific Driver pH Circuit,1,Atlas Scientific,EZO-pH,Atlas Scientific,EZO-pH
Driver Conductivity Circuit,Atlas Scientific Driver Conductivity Circuit,1,Atlas Scientific,EZO-EC,Atlas Scientific,EZO-EC
Driver Dissolved Oxygen Circuit,Atlas Scientific Driver Dissolved Oxygen Circuit,1,Atlas Scientific,EZO-DO,Atlas Scientific,EZO-DO
